Date,Time,Measurement,Value,Unit
2019-12-26,22:10:43,Bodyweight,60.0,kgs
2019-12-28,22:11:15,Bodyweight,62.6,kgs
2021-02-19,06:52:23,Bodyweight,64.9,kgs
2021-06-03,06:52:52,Bodyweight,64.7,kgs
2021-09-03,06:53:48,Bodyweight,65.0,kgs
2021-10-03,06:54:14,Bodyweight,68.0,kgs
2021-10-07,06:54:43,Bodyweight,67.0,kgs
2021-10-16,06:54:58,Bodyweight,68.0,kgs
2021-10-21,06:55:10,Bodyweight,69.0,kgs
2021-10-28,06:56:56,Bodyweight,68.0,kgs
2021-11-01,06:57:08,Bodyweight,69.6,kgs
2021-11-21,06:57:27,Bodyweight,68.5,kgs
2021-12-16,06:57:55,Bodyweight,69.1,kgs
2021-12-19,07:02:53,Bodyweight,70.5,kgs
2021-12-22,07:03:05,Bodyweight,70.0,kgs
2021-12-30,06:50:10,Bodyweight,69.9,kgs
2022-01-08,07:03:20,Bodyweight,70.4,kgs
2022-01-15,07:03:36,Bodyweight,71.3,kgs
2022-01-17,06:48:44,Bodyweight,72.0,kgs
2022-01-18,21:46:56,Neck,35.5,cm
2022-01-18,21:58:24,Chest,86.0,cm
2022-01-18,22:05:42,Waist,77.0,cm
2022-01-18,21:54:02,Upper Arm (Right),27.5,cm
2022-01-18,21:55:32,Upper Arm (Left),26.0,cm
2022-01-18,22:03:23,Calf (Right),36.5,cm
2022-01-18,22:03:28,Calf (Left),35.0,cm
2022-01-20,13:33:49,Bodyweight,70.9,kgs
2022-01-22,20:19:56,Bodyweight,72.5,kgs
2022-01-25,08:03:01,Bodyweight,73.4,kgs
2022-01-27,08:42:08,Bodyweight,72.9,kgs
2022-02-02,10:13:18,Bodyweight,72.5,kgs
2022-02-04,08:57:49,Bodyweight,72.4,kgs
2022-02-09,21:29:33,Neck,34.5,cm
2022-02-09,21:33:01,Shoulders,60.0,cm
2022-02-09,21:30:42,Chest,90.0,cm
2022-02-09,21:22:20,Waist,77.5,cm
2022-02-09,21:24:12,Upper Arm (Right),28.0,cm
2022-02-09,21:25:02,Upper Arm (Left),28.5,cm
2022-02-09,21:25:57,Calf (Right),36.5,cm
2022-02-09,21:26:43,Calf (Left),35.0,cm
2022-02-10,13:11:16,Bodyweight,72.2,kgs
2022-02-11,22:19:29,Body Fat,12.4,%
2022-02-12,21:18:02,Bodyweight,72.4,kgs
2022-02-14,08:37:00,Bodyweight,72.8,kgs
2022-02-16,08:51:41,Bodyweight,72.8,kgs
2022-02-20,21:51:32,Bodyweight,71.6,kgs
2022-02-22,15:15:24,Bodyweight,72.8,kgs
2022-02-23,05:36:01,Bodyweight,71.9,kgs
2022-02-25,06:28:15,Bodyweight,72.7,kgs
2022-02-27,14:20:57,Bodyweight,72.8,kgs
2022-02-28,06:04:22,Bodyweight,73.0,kgs
2022-03-02,05:51:19,Bodyweight,73.2,kgs
2022-03-03,09:11:00,Bodyweight,73.5,kgs
2022-03-04,05:35:58,Bodyweight,73.9,kgs
2022-03-05,19:27:57,Bodyweight,74.8,kgs
2022-03-07,05:38:46,Bodyweight,73.4,kgs
2022-03-09,05:46:42,Bodyweight,72.8,kgs
2022-03-10,06:36:37,Bodyweight,73.3,kgs
2022-03-10,15:54:37,Bodyweight,75.1,kgs
2022-03-12,14:36:38,Bodyweight,74.0,kgs
2022-03-13,11:20:25,Bodyweight,73.2,kgs
