"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Bent Over Row (Barbell)",,"",0,"normal",60,15,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Bent Over Row (Barbell)",,"",1,"normal",60,10,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Bent Over Row (Barbell)",,"",2,"normal",60,10,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Pull Up",,"",0,"normal",,6,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Pull Up",,"",1,"normal",,4,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Face Pull",,"",0,"normal",60,12,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Face Pull",,"",1,"normal",60,7,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Face Pull",,"",2,"normal",60,9,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",65,10,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",65,8,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",65,8,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Leg Extension (Machine)",,"",0,"normal",85,15,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Leg Extension (Machine)",,"",1,"normal",85,11,,,
"Day 55: Pull","29 Jun 2024, 10:39","29 Jun 2024, 12:00","","Leg Extension (Machine)",,"",2,"normal",85,9,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Incline Bench Press (Dumbbell)",,"",0,"normal",34,7,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Incline Bench Press (Dumbbell)",,"",1,"normal",34,5,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Incline Bench Press (Dumbbell)",,"",2,"normal",34,5,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Shoulder Press (Dumbbell)",,"",0,"normal",30,2,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Shoulder Press (Dumbbell)",,"",1,"normal",28,4,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Low Cable Chest Fly Crossovers",,"",0,"normal",22.5,12,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Low Cable Chest Fly Crossovers",,"",1,"normal",22.5,8,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Low Cable Chest Fly Crossovers",,"",2,"normal",22.5,8,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Lateral Raise (Cable)",,"",0,"normal",10,10,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Lateral Raise (Cable)",,"",1,"normal",10,8,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Lateral Raise (Cable)",,"",2,"normal",7.5,10,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Lateral Raise (Cable)",,"",3,"dropset",5,10,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Cable Fly Crossovers",,"",0,"normal",30,10,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Cable Fly Crossovers",,"",1,"normal",27.5,10,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Cable Fly Crossovers",,"",2,"normal",27.5,8,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Leg Raise Parallel Bars",,"",0,"normal",,11,,,
"Day 54: Push","27 Jun 2024, 10:02","27 Jun 2024, 11:11","","Leg Raise Parallel Bars",,"",1,"normal",,11,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Incline Curl (Dumbbell)",,"",0,"normal",16,4,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Incline Curl (Dumbbell)",,"",1,"normal",14,7,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Incline Curl (Dumbbell)",,"",2,"normal",14,5,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Incline Curl (Dumbbell)",,"",3,"dropset",10,5,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Triceps Extension (Dumbbell)",,"",0,"normal",26,7,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Triceps Extension (Dumbbell)",,"",1,"normal",26,6,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Triceps Extension (Dumbbell)",,"",2,"normal",26,5,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Cable Crunch",,"",0,"normal",75,20,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Cable Crunch",,"",1,"normal",75,12,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Cable Crunch",,"",2,"normal",75,8,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Triceps Pushdown",,"",0,"normal",45,9,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Triceps Pushdown",,"",1,"normal",45,5,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Triceps Pushdown",,"",2,"normal",40,7,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Bicep Curl (Cable)",,"",0,"normal",40,7,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Bicep Curl (Cable)",,"",1,"normal",35,9,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Bicep Curl (Cable)",,"",2,"normal",35,8,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Palms Up Wrist Curl",,"",0,"normal",10,10,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Palms Up Wrist Curl",,"",1,"normal",10,11,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Seated Palms Up Wrist Curl",,"",2,"normal",10,9,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Leg Extension (Machine)",,"",0,"normal",80,18,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Leg Extension (Machine)",,"",1,"normal",85,12,,,
"Day 53: Arms","25 Jun 2024, 13:26","25 Jun 2024, 14:43","","Leg Extension (Machine)",,"",2,"normal",85,13,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Bent Over Row (Barbell)",,"",0,"normal",50,20,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Bent Over Row (Barbell)",,"",1,"normal",60,10,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Bent Over Row (Barbell)",,"",2,"normal",60,11,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Incline Bench Press (Dumbbell)",,"",0,"normal",32,10,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Incline Bench Press (Dumbbell)",,"",1,"normal",32,8,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Incline Bench Press (Dumbbell)",,"",2,"normal",32,7,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Low Cable Fly Crossovers",,"",0,"normal",25,8,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Low Cable Fly Crossovers",,"",1,"normal",22.5,8,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Low Cable Fly Crossovers",,"",2,"normal",22.5,10,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Pull Up",,"",0,"normal",,6,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Pull Up",,"",1,"normal",,7,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Pull Up",,"",2,"normal",,7,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Cable Crunch",,"",0,"normal",75,16,,,
"Day 52: Chest+Back","20 Jun 2024, 09:22","20 Jun 2024, 10:58","","Cable Crunch",,"",1,"normal",75,14,,,
